event_object_table,trigger_name,action_timing,event_manipulation,action_statement
concurrent_access_events,concurrent_security,AFTER,INSERT,EXECUTE FUNCTION trigger_concurrent_security()
content,content_search_trigger,BEFORE,UPDATE,EXECUTE FUNCTION update_content_search()
content,content_search_trigger,BEFORE,INSERT,EXECUTE FUNCTION update_content_search()
content,content_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION trigger_set_updated_at()
content,content_recommend,AFTER,INSERT,EXECUTE FUNCTION trigger_content_recommend()
content,content_admin_audit,AFTER,INSERT,EXECUTE FUNCTION trigger_admin_event()
content,content_admin_audit,AFTER,DELETE,EXECUTE FUNCTION trigger_admin_event()
content,content_admin_audit,AFTER,UPDATE,EXECUTE FUNCTION trigger_admin_event()
downloads,download_tracking,AFTER,INSERT,EXECUTE FUNCTION trigger_download_activity()
payments,payment_success,AFTER,UPDATE,EXECUTE FUNCTION trigger_payment_paid()
profiles,profiles_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION trigger_set_updated_at()
subscriptions,subscription_activate,AFTER,UPDATE,EXECUTE FUNCTION trigger_subscription_activated()
subscriptions,subscriptions_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION trigger_set_updated_at()
video_progress,video_complete_tracking,AFTER,UPDATE,EXECUTE FUNCTION trigger_video_completed()
